id,road,region,value
2507,Peppermint Drive,Pontprennau,0.189798387
2516,Philip Street,Riverside,0.243179
2519,Picton Place,Riverside,0.08093
2520,Picton Walk,Riverside,0.017027143
2521,Piercefield Place,Adamsdown,0.013018
2530,Pipkin Close,Pontprennau,0.02695375
2533,Planet Street,Adamsdown,0.006713571
2534,Plantagenet Street,Riverside,0.019375758
2539,Plas y Delyn,Lisvane,0.153338889
2572,Portland Place,Lisvane,0.4767725
2573,Portmanmoor Road,Splott,0.156741148
2578,Priest Road,Adamsdown,0.097398
2580,Prince Leopold Street,Adamsdown,0.106222857
2617,Railway Street,Splott,0.011993033
2618,Railway Terrace,Riverside,0.193338824
2624,Rawden Mews,Riverside,0.133393125
2625,Rawden Place,Riverside,0.11561
2642,Rennie Street,Riverside,0.045107273
2663,Richards Place,Adamsdown,5.67E-05
2665,Richards Terrace,Adamsdown,0.097958095
2669,Ridgeway,Lisvane,0.186964949
2684,Rolls Street,Riverside,0.047370435
2700,Rosewood Close,Lisvane,0.300195333
2706,Rover Way,Adamsdown,0.218658947
2711,Rowan Way,Lisvane,0.216981132
2715,Ruby Street,Adamsdown,0.001732692
2716,Rudry Road,Lisvane,0.321898571
2720,Runcorn Close,Old St. Mellons,0.18257
2722,Ruperra Close,Old St. Mellons,0.251725
2729,Ryder Street,Riverside,0.37634
2730,Sable Close,Lisvane,0.169776
2758,Sandon Street,Adamsdown,0.268599375
2762,Sanquhar Street,Splott,0.032425176
2763,Sapele Drive,Splott,0.059676667
2764,Sapphire Street,Adamsdown,0.046077143
2767,Scotney Way,Pontprennau,0.141895
2779,Severn Road,Riverside,0.005122
2780,Seymour Street,Splott,0.013010377
2792,Shields Close,Pontprennau,0.074963333
2796,Silver Street,Adamsdown,0.01045
2797,Silverstone Close,Old St. Mellons,0.129884
2799,Sindercombe Close,Pontprennau,0.394561935
2800,Singleton Road,Splott,0.064676176
2804,Skibereen Close,Pontprennau,0.189298667
2807,Smeaton Street,Riverside,0.045321333
2821,South Luton Place,Adamsdown,0.007881429
2822,South Morgan Place,Riverside,0.219658333
2823,South Park Road,Splott,0.093929091
2831,Speedwell Close,Pontprennau,0.06354
2835,Spire Cardiff Hospital,Pontprennau,0.1094456
2836,Splott Road,Splott,0.067036813
2837,Spring Gardens Place,Adamsdown,0.011231429
2838,Spring Gardens Terrace,Adamsdown,0.018162353
2845,Spruce Close,Splott,0.107305556
2896,St. Mellons Road,Lisvane,0.548863529
2897,St. Mellons Road,Pontprennau,0.85857396
2899,Stacey Road,Adamsdown,0.233724386
2904,Stanier Court,Splott,0.144703333
2907,Star Street,Adamsdown,0.04507625
2917,Stephenson Street,Riverside,0.003955
2937,Sun Street,Adamsdown,0.175685714
2945,Swansea Street,Splott,0.027546429
2948,Swinton Street,Splott,0.008668182
2954,System Street,Adamsdown,0.126207895
2958,Tŷ'r Winch Road,Old St. Mellons,0.377401765
2962,Tŷ Draw Road,Pontprennau,0.87387124
2975,Taffs Mead Embankment,Riverside,0.04095
2981,Tanglewood Close,Lisvane,0.211553333
2985,Tarragon Way,Pontprennau,0.232074091
3001,Telford Street,Riverside,0.001289231
3009,Tharsis Close,Adamsdown,0.042147273
3016,The Coppins,Lisvane,0.284663636
3017,The Court,Lisvane,0.321115714
3020,The Dell,Old St. Mellons,0.51536375
3023,The Farthings,Pontprennau,0.165065714
3031,The Maltings,Pontprennau,0.189952264
3032,The Oaks,Lisvane,0.47861
3033,The Paddock,Lisvane,0.304325882
3042,The Spinney,Lisvane,0.242724615
3043,The Ton,Old St. Mellons,0.161429091
3047,The Woodlands,Lisvane,0.323292222
3049,Theodora Street,Adamsdown,0.031439048
3069,Tidal Sidings,Splott,0.298130278
3074,Tin Street,Adamsdown,0.086617778
3077,Titan Road,Splott,0.00012
3081,Topaz Street,Adamsdown,0.001349231
3090,Tramore Way,Pontprennau,0.171829167
3111,Trevethick Street,Riverside,0.003028
3119,Tudor Street,Riverside,0.017159268
3136,Ty-to-Maen Close,Old St. Mellons,0.138412647
3154,Tyler Street,Adamsdown,0.050203
3161,University Place,Splott,0.15912125
3172,Vale Road,Splott,0.053671429
3175,Vanguard Way,Splott,0.104035116
3199,Wagtail Close,Pontprennau,0.32373
3200,Wain Close,Pontprennau,0.1098725
3202,Walford Place,Riverside,0.046154286
3203,Walker Road,Splott,0.025195208
3247,Wellington Street,Riverside,0.1303788
3249,Wells Street,Riverside,0.036495143
3264,Wern Fawr Lane,Old St. Mellons,0.336863261
3274,West Luton Place,Adamsdown,0.136048
3298,Wexford Court,Pontprennau,0.219931
3322,Wicklow Close,Pontprennau,0.131766
3326,Wilkinson Close,Splott,0.06298
3328,William Nicholls Drive,Old St. Mellons,0.211564444
3343,Wilson Street,Splott,0.010372667
3358,Windsor Road,Adamsdown,0.139178125
3361,Windsor Road,Splott,0.17417875
3369,Wisley Place,Pontprennau,0.05095
3373,Wood Close,Lisvane,0.24049
3375,Wood Street,Riverside,0.0349075
3386,Woodsy Close,Pontprennau,0.2002175
3394,Wordsworth Avenue,Adamsdown,0.0723
3407,Wyndham Crescent,Riverside,0.027621111
3408,Wyndham Place,Riverside,0.047581842
3410,Wyndham Street,Riverside,0.054693871
3423,Youghal Close,Pontprennau,0.145533333
3426,Zinc Street,Adamsdown,0.054933846
